Date	High	Low	Open	Close	Volume	Adj Close	RSI	sell_signal	buy_signal	Current Position	Current Stock Holding	Current Capital
2016-06-01	1322.50	1285.50	1285.60	1316.78	1911942.00	1179.53		0	0	0	0	100000
2016-06-02	1327.15	1300.00	1300.00	1325.07	1408756.00	1186.96		0	0	0	0	100000
2016-06-03	1329.00	1310.25	1325.70	1314.78	1554922.00	1177.73		0	0	0	0	100000
2016-06-06	1319.50	1301.60	1310.25	1306.25	1322026.00	1182.24		0	0	0	0	100000
2016-06-07	1319.50	1306.50	1307.00	1315.57	1202194.00	1190.68		0	0	0	0	100000
2016-06-08	1314.28	1302.75	1308.62	1306.55	938266.00	1182.51		0	0	0	0	100000
2016-06-09	1311.20	1277.60	1311.20	1288.62	1562138.00	1166.29		0	0	0	0	100000
2016-06-10	1301.62	1276.60	1283.00	1277.88	1396832.00	1156.56		0	0	0	0	100000
2016-06-13	1276.68	1259.00	1270.00	1273.50	1029978.00	1152.60		0	0	0	0	100000
2016-06-14	1279.47	1259.12	1279.47	1267.43	977570.00	1147.10		0	0	0	0	100000
2016-06-15	1282.45	1261.00	1265.00	1278.43	1270844.00	1157.05		0	0	0	0	100000
2016-06-16	1282.35	1258.22	1272.78	1279.15	1145070.00	1157.71		0	0	0	0	100000
2016-06-17	1305.00	1279.50	1279.50	1301.30	1878988.00	1177.76		0	0	0	0	100000
2016-06-20	1334.00	1295.90	1301.30	1329.65	1872838.00	1203.42		0	0	0	0	100000
2016-06-21	1332.50	1320.70	1331.75	1325.60	1027690.00	1199.75	60.71	0	0	0	0	100000
2016-06-22	1338.85	1315.88	1325.00	1333.82	1761712.00	1207.19	63.85	0	0	0	0	100000
2016-06-23	1329.75	1312.65	1327.50	1322.68	1397014.00	1197.10	57.17	0	0	0	0	100000
2016-06-24	1296.60	1257.07	1282.57	1286.97	3766586.00	1164.79	42.01	0	0	0	0	100000
2016-06-27	1273.50	1241.32	1273.50	1247.93	4272566.00	1129.45	32.01	0	0	0	0	100000
2016-06-28	1251.45	1229.20	1247.93	1231.97	4499524.00	1115.01	28.98	0	1	0	0	100000
